銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
陽信商業銀行,0.19,0.37,0.13,0.26,0.44,0.28,0.38,0.59,0.67,0.35,0.53,0.09,0.25,,17.0,,25.0,,7.0,,19.0,,24.0,,20.0,,25.5,,29.0,,31.0,,28.0,,30.5,,11.5,,25.5
板信商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三信商業銀行,0.34,0.40,0.52,0.65,0.46,0.41,0.29,0.25,0.33,0.30,0.42,0.36,0.31,,25.0,,26.0,,27.0,,30.0,,25.0,,26.0,,22.0,,22.0,,25.0,,26.5,,28.0,,28.0,,28.0
聯邦商業銀行,0.16,0.15,0.16,0.15,0.17,0.17,0.16,0.15,0.14,0.13,0.12,0.12,0.13,,14.5,,11.0,,13.0,,10.5,,8.5,,8.5,,16.0,,12.0,,13.0,,12.0,,15.5,,16.0,,15.5
遠東國際商業銀行,0.28,0.27,0.28,0.30,0.32,0.29,0.25,0.26,0.25,0.25,0.26,0.25,0.25,,23.0,,20.0,,22.0,,21.5,,22.0,,21.0,,20.0,,23.0,,21.5,,25.0,,25.0,,25.5,,25.5
元大商業銀行,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,,4.0,,2.5,,2.0,,2.0,,2.0,,2.5,,2.5,,2.0,,4.5,,4.0,,5.5,,8.0,,5.0
永豐商業銀行,0.13,0.14,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.11,0.11,,9.5,,9.5,,7.0,,6.5,,4.0,,6.0,,9.0,,7.5,,10.5,,12.0,,15.5,,15.0,,12.5
玉山商業銀行,0.12,0.12,0.15,0.15,0.16,0.17,0.14,0.15,0.15,0.12,0.10,0.09,0.11,,7.0,,6.5,,11.5,,10.5,,6.0,,8.5,,10.5,,12.0,,15.0,,10.0,,10.0,,11.5,,12.5
凱基商業銀行,0.53,0.60,0.70,0.70,0.70,0.74,0.67,0.65,0.59,0.57,0.53,0.46,0.50,,30.0,,29.0,,31.0,,31.0,,30.0,,30.0,,28.0,,30.0,,30.0,,31.0,,30.5,,30.0,,30.0
星展(台灣)商業銀行,0.61,0.59,0.65,0.61,0.61,0.74,0.70,0.68,0.50,0.47,0.46,0.47,0.58,,31.0,,27.5,,30.0,,28.0,,29.0,,30.0,,29.0,,31.0,,28.0,,29.0,,29.0,,31.0,,31.0
台新國際商業銀行,0.13,0.13,0.14,0.14,0.16,0.17,0.15,0.16,0.14,0.11,0.09,0.09,0.10,,9.5,,8.0,,9.5,,8.5,,6.0,,8.5,,13.0,,15.0,,13.0,,8.0,,7.5,,11.5,,10.5
日盛國際商業銀行,0.21,0.29,0.27,0.30,0.24,0.34,0.26,0.19,0.25,0.20,0.20,0.24,0.21,,19.0,,22.0,,21.0,,21.5,,16.5,,24.0,,21.0,,17.0,,21.5,,19.5,,22.5,,24.0,,23.5
安泰商業銀行,0.31,0.34,0.41,0.49,0.36,0.39,0.40,0.19,0.27,0.24,0.10,0.16,0.18,,24.0,,23.0,,24.0,,26.0,,23.0,,25.0,,27.0,,17.0,,23.5,,24.0,,10.0,,20.5,,20.0
中國信託商業銀行,0.13,0.16,0.17,0.16,0.18,0.20,0.12,0.12,0.09,0.08,0.08,0.09,0.09,,9.5,,12.5,,14.0,,12.5,,11.0,,15.0,,8.0,,5.5,,7.0,,4.0,,5.5,,11.5,,7.5
將來商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
連線商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樂天國際商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央信託局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中國農民銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳盛(台灣)商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第七商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大眾商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慶豐商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北國際商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
