,上海商業儲蓄銀行,板信商業銀行,中國輸出入銀行,兆豐國際商業銀行,星展(台灣)商業銀行,陽信商業銀行,高雄銀行,高雄區中小企業銀行,安泰商業銀行,凱基商業銀行,中華商業銀行,大眾商業銀行,第七商業銀行,交通銀行,遠東國際商業銀行,中華開發工業銀行,聯邦商業銀行,國泰世華商業銀行,中央信託局,王道商業銀行,第一商業銀行,臺東區中小企業銀行,瑞興商業銀行,合作金庫銀行,台新國際商業銀行,三信商業銀行,花旗(台灣)商業銀行,日盛國際商業銀行,臺灣銀行,臺灣土地銀行,京城商業銀行,玉山商業銀行,將來商業銀行,元大商業銀行,連線商業銀行,匯豐(台灣)商業銀行,台北富邦商業銀行,台中商業銀行,華泰商業銀行,花蓮區中小企業銀行,樂天國際商業銀行,渣打國際商業銀行,華南商業銀行,臺灣中小企業銀行,彰化商業銀行,慶豐商業銀行,澳盛(台灣)商業銀行,臺北國際商業銀行,永豐商業銀行,臺灣新光商業銀行,中國農民銀行,中國信託商業銀行
2017年1月,6.439754342925341,15.168103771462848,,8.120632596844722,8.518656366309074,14.218395061728396,17.91695971867008,,8.016109531745254,5.14999665036511,,,,,10.523330905559602,,11.846007604562738,12.621100969874812,,5.461274892288904,10.005898182045746,,12.253934740882917,13.207109309287345,9.186273780905884,16.312959290796687,6.037667146677638,9.469725441069006,14.177061504657793,16.657596388608184,5.181864523673873,11.901184099238794,,11.916253893683297,,7.966211115966787,9.326792564178223,13.16838463201903,13.648472761624856,,,10.666201249526694,12.524521713650849,17.33765029778627,11.576204195682703,8.434990286824362,5.2712387190129855,,9.953697850821744,13.497645941522359,,8.475005761741256
2017年2月,6.390128939591554,14.986090338019743,,8.10743912382717,8.459968701095463,14.099222977096131,17.520111287758347,,7.901899042363253,5.518809089401228,,,,,10.99739388528269,,11.734410330454681,12.663348324826924,,5.504781281790438,10.02909804369378,,12.136946945029688,13.145734873755583,9.079593308099428,16.080587762599013,6.103474604742077,9.468688337314363,13.806910217610607,16.539504214761948,5.1099365750528545,11.884072932756867,,11.92969329288844,,8.02832067843408,9.191527034518652,13.178047908473363,13.646602348993289,,,10.7612352321909,12.532905170161442,17.50374942397118,11.549524173156305,8.635583380762665,4.855227678401883,,9.816837418692796,13.115165952676461,,8.521127748360627
2017年3月,6.45106597558052,14.938079569249178,,8.28977233882546,8.771104656610138,14.276136132056246,15.024353120243532,,8.070944419340263,5.809288964165919,,,,,11.268304950779623,,11.862712465555344,12.449509046503515,,5.582396750169262,9.970621696815497,,12.015093618647306,13.003738192121359,9.021757873503384,15.967752962625342,5.95258085675362,9.383498656747262,13.768239434851088,16.62931646644558,5.117404198406699,11.869841733700417,,12.075104032621956,,7.864916374951381,9.324267417311752,13.123317267741399,13.833473861720067,,,10.776816406706732,12.506905073411833,17.510849884397896,11.529961674845088,8.482185111030216,4.532013742484579,,9.76575671759747,13.085610780469356,,8.433569599096206
2017年4月,6.664344980140946,14.947340902300567,,8.404164637576114,9.06351745553778,14.221549880995603,14.950075747142266,,7.97596911693743,5.622013750350353,,,,,10.96713481143509,,11.724041058887089,13.272265438958565,,5.526429124188285,9.965668284598083,,12.115149196633512,12.935589895286077,9.148136768998164,15.954761366206741,5.889781825460369,9.31162576215607,13.738704093298974,16.59914888025928,4.98461450140651,12.429507498698964,,12.011424307743326,,7.883112870522352,9.90571636725483,13.104217193717771,13.887473684210526,,,10.47221447172619,12.507511020787225,17.51274097052958,11.381828276932277,8.409810126582279,4.948705973924888,,9.680817455640673,13.608821532686393,,8.647914156945305
2017年5月,6.498357628448163,15.218666269723132,,8.882085909342807,8.780544919464575,14.314839491217445,14.668355817297815,,8.016994345926497,5.754069171719887,,,,,10.772059518186113,,11.661932349093627,13.167873557950424,,5.28337056920871,9.84148945907191,,12.196718183552758,13.445521573637839,9.160701973800247,15.842796229802513,5.947917906008328,9.179506699147382,13.834793014898368,16.58394630911355,5.084055741294121,12.481968234194955,,12.555770780122392,,8.94493525616041,9.955285720146039,13.076741025400693,13.850068341919883,,,10.912920040956902,13.122327423399296,17.199374897187038,11.203185369017739,8.46763724459478,4.650211346802653,,9.613797424068604,13.383643564356436,,8.691951846960665
2017年6月,6.89025097255014,15.405936920222635,,9.058620944325456,8.814901415571285,14.33777051532422,15.239795192717963,,8.381997074857066,5.9104692656938465,,,,,10.917870319018109,,11.987021857923498,11.827152582628838,,5.833492724912904,10.406818873993492,,12.372926596758818,13.116610574201584,9.573041690348033,16.094597623851154,6.202605220821008,9.027008032128514,13.608794167292153,16.685730646719875,5.057877347553907,11.605851048692337,,12.534802449658168,,8.822466411984376,10.115814261022887,13.560079347799793,13.8136474583466,,,10.919566790374157,12.961415993170531,17.31139853160334,11.656494674030617,8.323112086718414,4.5396880684237,,9.765109167433907,13.484893725690489,,8.451784847150229
2017年7月,6.905822189223235,15.410746003552397,,8.967501450656542,9.179189471353096,14.280975801691914,15.351326494517156,,8.36749048202878,6.0328662631622585,,,,,10.860021056661562,,11.923494757323533,11.822134110787172,,5.898594138271437,10.401870790588907,,12.412167300380228,13.024952005555102,9.6455380794702,15.743681104554058,6.233239633851254,9.086796213253612,13.905384323481048,16.233891130177852,5.01227133280309,11.371075293802855,,12.306492679821769,,8.96617151150382,9.89999425749397,13.438976377952756,13.70424178154825,,,10.499281109410509,12.65887437322633,16.866634158234792,11.690504444712888,8.130469925234065,4.6273774547703725,,9.51558282208589,13.406215294690696,,8.392669276236836
2017年8月,6.831271968726389,15.25430336913344,,8.84201631301455,9.204721924120951,13.973815174948319,15.37809087706939,,8.499072890025575,5.9681261754710135,,,,,10.413399468388077,,11.933376247183778,11.76340227460332,,6.395335395913372,10.397933100767885,,12.368112099981063,13.202789617998713,9.867120744051531,15.53433358887307,6.252010996843499,9.18645580288533,13.718489120021896,16.445381945424273,5.028286375163726,11.53310516664567,,12.038015570647673,,9.665462152909852,10.125753106385886,13.33888584822597,13.477626150428435,,,10.810461878351322,12.642415818060464,16.79619744255153,11.69705173216023,8.078818941504178,4.794399012498071,,9.355624089640413,13.594633891010604,,8.525806928679705
2017年9月,6.787467069958045,15.309040047114252,,8.800018201881619,8.734870043634984,13.95190990716786,15.28614563584018,,8.457208427628853,5.993293885601578,,,,,10.465003775722106,,11.948575864653604,11.588373082267532,,6.116711599494932,10.333498026284994,,12.37412521278608,13.031922622831713,9.583829280040492,13.957924957924957,6.291702283858121,9.024818312157018,13.748509433830073,16.370371411109314,4.928903091882443,11.523907483598354,,12.01453870416612,,9.645593587612817,9.774018883461743,13.154809737650673,13.61222762851703,,,11.162492559864475,11.911316044931356,16.925590345988855,11.601930752937722,8.421647630392638,4.937524481002741,,9.383149910647141,13.375619826737926,,8.392406640981557
2017年10月,6.857874821358971,15.257456943935507,,8.73877233642602,9.781320968962907,13.86149042621224,15.285294734633942,,8.326040976102535,5.963694972649128,,,,,10.278610928859312,,9.354788694030633,11.668803382663848,,5.929601357082273,10.353928220001036,,12.48784165881244,12.999172621286197,9.636015573777126,13.952437223042836,6.076728027792197,9.038720455997248,13.711639027937023,16.447767028241962,4.89102268097243,11.419393287998732,,11.903503649635036,,9.404722141037952,9.876870858431634,13.148610655545664,11.774753636790239,,,10.27588408308443,11.888669214632605,17.061187882009037,11.59383092313994,8.214828897338403,4.735892529386496,,9.244219769596391,13.167334650123689,,8.403042324183998
