銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
陽信商業銀行,112256.0,113233.0,114659.0,114575.0,115231.0,115224.0,115013.0,114949.0,115835.0,116693.0,116750.0,117276.0,108635.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.07%,30.0
板信商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
三信商業銀行,15017.0,15059.0,15099.0,15214.0,15274.0,15230.0,15338.0,15506.0,15625.0,15895.0,16157.0,16241.0,16409.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0
聯邦商業銀行,2251261.0,2258384.0,2268966.0,2278950.0,2287248.0,2192196.0,2192207.0,2196076.0,2207397.0,2217729.0,2238082.0,2255449.0,2272852.0,1.53%,9.0,1.53%,9.0,1.53%,9.0,1.53%,9.0,1.53%,9.0,1.47%,9.0,1.46%,9.0,1.46%,9.0,1.46%,9.0,1.46%,9.0,1.46%,9.0,1.47%,9.0,1.47%,9.0
遠東國際商業銀行,1629635.0,1633236.0,1636080.0,1640412.0,1641408.0,1571331.0,1569002.0,1569110.0,1571458.0,1575535.0,1579888.0,1547948.0,1550073.0,1.11%,11.0,1.11%,11.0,1.10%,11.0,1.10%,11.0,1.10%,11.0,1.05%,11.0,1.05%,11.0,1.04%,11.0,1.04%,11.0,1.03%,11.0,1.03%,11.0,1.01%,11.0,1.00%,11.0
元大商業銀行,1157580.0,1156757.0,1156486.0,1156419.0,1157256.0,1158232.0,1158437.0,1157635.0,1159146.0,1166787.0,1176095.0,1179037.0,1181953.0,0.79%,13.0,0.78%,13.0,0.78%,13.0,0.77%,13.0,0.77%,13.0,0.77%,13.0,0.77%,13.0,0.77%,13.0,0.76%,13.0,0.77%,13.0,0.77%,13.0,0.77%,13.0,0.76%,13.0
永豐商業銀行,2067816.0,2078893.0,2094336.0,2108374.0,2117362.0,2122821.0,2133392.0,2139947.0,2146678.0,2153038.0,2162649.0,2170771.0,2181934.0,1.41%,10.0,1.41%,10.0,1.41%,10.0,1.41%,10.0,1.41%,10.0,1.42%,10.0,1.42%,10.0,1.42%,10.0,1.42%,10.0,1.41%,10.0,1.41%,10.0,1.41%,10.0,1.41%,10.0
玉山商業銀行,6373780.0,6392366.0,6423268.0,6454847.0,6475418.0,6489112.0,6510578.0,6534077.0,6559993.0,6586884.0,6608027.0,6624086.0,6642488.0,4.34%,5.0,4.33%,5.0,4.33%,5.0,4.33%,5.0,4.32%,5.0,4.34%,5.0,4.34%,5.0,4.34%,5.0,4.33%,5.0,4.32%,5.0,4.31%,5.0,4.31%,5.0,4.30%,5.0
凱基商業銀行,355939.0,356333.0,357938.0,360651.0,362817.0,364972.0,366954.0,370219.0,372235.0,373981.0,374909.0,376054.0,377698.0,0.24%,23.0,0.24%,23.0,0.24%,23.0,0.24%,23.0,0.24%,23.0,0.24%,23.0,0.24%,23.0,0.25%,23.0,0.25%,23.0,0.25%,23.0,0.24%,23.0,0.24%,23.0,0.24%,22.0
星展(台灣)商業銀行,609349.0,609813.0,607969.0,608256.0,608911.0,609463.0,608124.0,607599.0,608554.0,612949.0,620072.0,622454.0,623023.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,19.0,0.41%,19.0,0.40%,19.0,0.40%,19.0,0.40%,19.0,0.40%,19.0,0.40%,19.0,0.40%,19.0
台新國際商業銀行,5763691.0,5790196.0,5813795.0,5832494.0,5854447.0,5867723.0,5900962.0,5928080.0,5957656.0,5991535.0,6034814.0,6058070.0,6078645.0,3.92%,6.0,3.92%,6.0,3.92%,6.0,3.91%,6.0,3.91%,6.0,3.92%,6.0,3.93%,6.0,3.93%,6.0,3.93%,6.0,3.93%,6.0,3.94%,6.0,3.94%,6.0,3.93%,6.0
日盛國際商業銀行,145809.0,145561.0,145201.0,144786.0,144104.0,143447.0,142902.0,142080.0,141338.0,140659.0,139853.0,139275.0,138742.0,0.10%,28.0,0.10%,28.0,0.10%,28.0,0.10%,28.0,0.10%,28.0,0.10%,28.0,0.10%,28.0,0.09%,28.0,0.09%,28.0,0.09%,28.0,0.09%,28.0,0.09%,28.0,0.09%,28.0
