銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
遠東國際商業銀行,0.25,0.27,0.27,0.28,0.31,0.32,0.3,0.3,0.31,0.28,0.28,0.27,0.29,,25.5,,24.0,,25.0,,24.0,,26.0,,27.0,,26.0,,26.0,,26.0,,24.5,,25.0,,25.0,,24.0
元大商業銀行,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,5.0,,4.5,,5.5,,4.0,,2.5,,3.5,,4.5,,2.5,,3.5,,1.5,,4.5,,4.5,,5.5
永豐商業銀行,0.11,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,,12.5,,16.0,,13.0,,8.5,,8.5,,6.5,,10.0,,9.0,,10.0,,10.5,,10.5,,12.0,,7.5
玉山商業銀行,0.11,0.12,0.16,0.18,0.18,0.15,0.11,0.11,0.13,0.14,0.13,0.12,0.12,,12.5,,12.5,,18.5,,16.5,,14.5,,12.5,,10.0,,7.5,,13.0,,14.0,,14.0,,12.0,,10.5
凱基商業銀行,0.5,0.58,0.68,0.79,0.88,0.9,0.83,0.81,0.78,0.69,0.77,0.62,0.61,,30.0,,30.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,30.0
星展(台灣)商業銀行,0.58,0.64,0.61,0.54,0.52,0.55,0.48,0.46,0.44,0.47,0.41,0.4,0.44,,31.0,,31.0,,30.0,,30.0,,29.0,,29.0,,29.0,,28.0,,28.0,,29.0,,28.0,,28.0,,27.5
台新國際商業銀行,0.1,0.11,0.12,0.13,0.15,0.15,0.12,0.13,0.13,0.13,0.13,0.12,0.12,,10.5,,9.5,,11.0,,11.0,,12.5,,12.5,,12.5,,10.5,,13.0,,13.0,,14.0,,12.0,,10.5
日盛國際商業銀行,0.21,0.23,0.23,0.2,0.21,0.25,0.24,0.27,0.16,0.15,0.18,0.22,0.44,,23.5,,20.5,,21.0,,19.0,,18.5,,23.0,,24.0,,25.0,,18.5,,15.5,,21.5,,22.0,,27.5
安泰商業銀行,0.18,0.19,0.24,0.28,0.09,0.13,0.2,0.23,0.26,0.28,0.07,0.13,0.19,,20.0,,19.0,,22.0,,24.0,,4.5,,8.0,,20.0,,22.0,,25.0,,24.5,,2.5,,15.0,,19.5
中國信託商業銀行,0.09,0.11,0.11,0.12,0.13,0.12,0.08,0.1,0.1,0.11,0.1,0.1,0.12,,7.5,,9.5,,9.0,,8.5,,8.5,,6.5,,4.5,,5.5,,7.0,,7.5,,6.5,,6.0,,10.5
將來商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
連線商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樂天國際商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央信託局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中國農民銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳盛(台灣)商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第七商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大眾商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慶豐商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北國際商業銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前20,4.57,5.47,5.32,5.599999999999999,6.16,6.040000000000001,5.510000000000001,6.0,5.62,5.62,5.219999999999999,5.11,5.8,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0,,32.0
總額,5.4399999999999995,6.42,6.220000000000001,6.67,7.3100000000000005,7.21,6.4799999999999995,7.109999999999999,6.630000000000001,6.75,6.25,6.0600000000000005,6.71,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0
