銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
三信商業銀行,67.38%,66.87%,66.74%,66.39%,66.27%,66.11%,65.71%,65.81%,66.20%,65.86%,66.27%,66.58%,66.57%,,8.0,,8.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,10.0,,10.0,,9.0,,9.0,,9.0
聯邦商業銀行,58.77%,58.64%,58.22%,58.12%,58.13%,60.37%,59.65%,59.00%,58.43%,57.96%,57.42%,57.64%,57.93%,,17.0,,17.0,,17.0,,17.0,,17.0,,14.0,,16.0,,16.0,,16.0,,17.0,,17.0,,17.0,,17.0
遠東國際商業銀行,64.26%,64.01%,64.01%,63.59%,63.31%,64.69%,63.66%,62.87%,61.91%,61.16%,61.76%,64.22%,64.72%,,12.0,,12.0,,11.0,,11.0,,12.0,,11.0,,11.0,,12.0,,12.0,,12.0,,12.0,,10.0,,10.0
元大商業銀行,50.64%,50.12%,49.83%,49.51%,49.14%,48.67%,48.22%,47.85%,47.55%,47.11%,46.94%,47.03%,47.02%,,24.0,,25.0,,25.0,,26.0,,25.0,,25.0,,27.0,,27.0,,27.0,,27.0,,26.0,,26.0,,26.0
永豐商業銀行,53.66%,53.60%,53.89%,54.01%,54.02%,53.68%,53.61%,53.71%,53.51%,53.35%,53.45%,53.72%,53.94%,,19.0,,19.0,,19.0,,19.0,,19.0,,19.0,,19.0,,19.0,,19.0,,18.0,,18.0,,18.0,,18.0
玉山商業銀行,70.34%,70.07%,69.75%,69.50%,69.41%,68.94%,68.62%,68.27%,68.17%,68.10%,68.04%,68.41%,68.44%,,5.0,,5.0,,5.0,,6.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,4.0,,4.0,,4.0
凱基商業銀行,52.13%,52.44%,52.79%,52.69%,53.03%,52.68%,52.38%,52.15%,51.72%,51.23%,50.99%,50.94%,51.04%,,22.0,,22.0,,20.0,,20.0,,20.0,,20.0,,20.0,,20.0,,21.0,,22.0,,23.0,,22.0,,21.0
星展(台灣)商業銀行,53.83%,53.14%,52.40%,52.15%,51.83%,51.36%,50.96%,50.80%,50.83%,50.88%,51.21%,51.12%,51.22%,,18.0,,20.0,,21.0,,22.0,,22.0,,22.0,,22.0,,23.0,,23.0,,23.0,,22.0,,21.0,,20.0
台新國際商業銀行,69.88%,69.52%,69.74%,69.81%,69.57%,69.00%,68.41%,68.23%,67.92%,67.49%,67.40%,67.14%,67.31%,,6.0,,6.0,,6.0,,5.0,,4.0,,4.0,,5.0,,6.0,,6.0,,6.0,,6.0,,6.0,,6.0
日盛國際商業銀行,65.75%,66.24%,63.16%,62.31%,64.20%,65.97%,65.66%,64.27%,67.74%,66.73%,64.64%,63.23%,62.88%,,10.0,,10.0,,12.0,,12.0,,11.0,,10.0,,10.0,,10.0,,7.0,,7.0,,10.0,,11.0,,12.0
